Storm_id,Storm_name,Timestamp,Type_of_storm,Lat,Lon,Wind_knots,Pressure_mb,min_distance_km
AL021857,UNNAMED,1857-09-13 06:00:00,HU,34.5,-77.5,80,-999,40.392116064853916
AL051872,UNNAMED,1872-10-25 00:00:00,TS,34.3,-77.7,50,-999,13.987509370014285
AL051872,UNNAMED,1872-10-25 01:00:00,TS,34.4,-77.7,50,-999,19.175408338004758
AL021876,UNNAMED,1876-09-17 14:00:00,HU,34.4,-77.6,80,980,26.577561523016474
AL071888,UNNAMED,1888-10-11 18:00:00,TS,34.5,-77.5,55,-999,40.392116064853916
AL041894,UNNAMED,1894-09-28 06:00:00,TS,34.4,-77.6,60,-999,26.577561523016474
AL031901,UNNAMED,1901-07-12 22:00:00,TS,34.0,-77.9,35,-999,24.68085788883468
AL011907,UNNAMED,1907-06-29 18:00:00,EX,34.0,-78.0,50,-999,25.02340010050293
AL021946,UNNAMED,1946-07-06 12:00:00,TS,34.4,-78.0,45,1005,19.17540833800511
AL071949,UNNAMED,1949-09-13 06:00:00,TS,34.2,-77.6,35,-999,24.681544220348
AL071949,UNNAMED,1949-09-13 08:00:00,TS,34.3,-77.8,35,-999,5.1101887082172714
AL031955,DIANE,1955-08-17 12:00:00,TS,34.0,-77.9,60,985,24.68085788883468
AL061961,UNNAMED,1961-09-14 12:00:00,TS,34.4,-77.6,40,-999,26.577561523016474
AL011968,ABBY,1968-06-12 12:00:00,TD,34.0,-77.8,30,-999,27.611174996836358
AL041972,UNNAMED,1972-07-12 12:00:00,TD,34.0,-78.0,25,-999,25.02340010050293
AL021987,ARLENE,1987-08-08 00:00:00,LO,34.3,-77.5,10,1016,32.300643143804166
AL021996,BERTHA,1996-07-12 20:00:00,HU,34.3,-77.8,90,974,5.1101887082172714
AL021998,BONNIE,1998-08-27 00:00:00,HU,34.0,-77.7,95,963,32.95249795585419
AL021998,BONNIE,1998-08-27 04:00:00,HU,34.4,-77.7,95,964,19.175408338004758
AL021998,BONNIE,1998-08-27 06:00:00,HU,34.5,-77.5,85,965,40.392116064853916
AL122002,KYLE,2002-10-12 00:00:00,TD,34.2,-78.0,30,1012,5.957869974342054
AL062006,ERNESTO,2006-09-01 06:00:00,TS,34.5,-78.0,50,985,28.03309227718237
AL062018,FLORENCE,2018-09-14 11:15:00,HU,34.2,-77.8,80,956,9.998373476013388
AL062018,FLORENCE,2018-09-14 12:00:00,HU,34.1,-77.9,80,957,13.812612144305659
